domain,sheet_type,head,relation,tail,vote,
check-out,Contrary(P)Body(P),no_evident_not_possibility_for_late_check_out,NOT_CONTRARY,late_departure_no_extra_cost,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_possibility_for_late_check_out,NOT_CONTRARY,hotel_allow_late_departure,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_possibility_for_late_check_out,NOT_CONTRARY,possibility_for_late_check_out,No,UNIQUE
check-out,Contrary(N)Body(N),have_evident_staff_not_allow_late_check-out_for_delay_plane,NOT_CONTRARY,staff_not_allow_late_check-out_for_delay_plane,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_easy_check-in,NOT_CONTRARY,no_one_give_key_on_late_check-in,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_easy_check-in,NOT_CONTRARY,door_lock_on_late_check-in,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_easy_check-in,CONTRARY_TO,customer_wait_10_minute_for_greet,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_easy_check-in,CONTRARY_TO,customer_wait_10_minute_for_check-in,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_easy_check-in,CONTRARY_TO,staff_misunderstand_on_payment,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_easy_check-in,CONTRARY_TO,staff_take_picture_of_passport,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_clear_instruction_to_access_room,NOT_CONTRARY,no_one_give_key_on_late_check-in,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_clear_instruction_to_access_room,NOT_CONTRARY,door_lock_on_late_check-in,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_clear_instruction_to_access_room,NOT_CONTRARY,customer_wait_10_minute_for_greet,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_clear_instruction_to_access_room,NOT_CONTRARY,customer_wait_10_minute_for_check-in,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_clear_instruction_to_access_room,NOT_CONTRARY,staff_misunderstand_on_payment,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_clear_instruction_to_access_room,NOT_CONTRARY,staff_take_picture_of_passport,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_clear_instruction_to_enter_hotel,NOT_CONTRARY,no_one_give_key_on_late_check-in,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_clear_instruction_to_enter_hotel,NOT_CONTRARY,door_lock_on_late_check-in,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_clear_instruction_to_enter_hotel,NOT_CONTRARY,customer_wait_10_minute_for_greet,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_clear_instruction_to_enter_hotel,NOT_CONTRARY,customer_wait_10_minute_for_check-in,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_clear_instruction_to_enter_hotel,NOT_CONTRARY,staff_misunderstand_on_payment,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_clear_instruction_to_enter_hotel,NOT_CONTRARY,staff_take_picture_of_passport,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_sent_instruction_in_advance,NOT_CONTRARY,no_one_give_key_on_late_check-in,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_sent_instruction_in_advance,NOT_CONTRARY,door_lock_on_late_check-in,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_sent_instruction_in_advance,NOT_CONTRARY,customer_wait_10_minute_for_greet,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_sent_instruction_in_advance,NOT_CONTRARY,customer_wait_10_minute_for_check-in,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_sent_instruction_in_advance,NOT_CONTRARY,staff_misunderstand_on_payment,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_sent_instruction_in_advance,NOT_CONTRARY,staff_take_picture_of_passport,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_perfect_instruction,NOT_CONTRARY,no_one_give_key_on_late_check-in,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_perfect_instruction,NOT_CONTRARY,door_lock_on_late_check-in,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_perfect_instruction,NOT_CONTRARY,customer_wait_10_minute_for_greet,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_perfect_instruction,CONTRARY_TO,customer_wait_10_minute_for_check-in,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_perfect_instruction,NOT_CONTRARY,staff_misunderstand_on_payment,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_perfect_instruction,NOT_CONTRARY,staff_take_picture_of_passport,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_easy_late_night_check-in,CONTRARY_TO,no_one_give_key_on_late_check-in,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_easy_late_night_check-in,CONTRARY_TO,door_lock_on_late_check-in,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_easy_late_night_check-in,NOT_CONTRARY,customer_wait_10_minute_for_greet,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_easy_late_night_check-in,CONTRARY_TO,customer_wait_10_minute_for_check-in,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_easy_late_night_check-in,CONTRARY_TO,staff_misunderstand_on_payment,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_easy_late_night_check-in,NOT_CONTRARY,staff_take_picture_of_passport,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_comfortable_late_night_check-in,CONTRARY_TO,no_one_give_key_on_late_check-in,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_comfortable_late_night_check-in,CONTRARY_TO,door_lock_on_late_check-in,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_comfortable_late_night_check-in,CONTRARY_TO,customer_wait_10_minute_for_greet,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_comfortable_late_night_check-in,CONTRARY_TO,customer_wait_10_minute_for_check-in,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_comfortable_late_night_check-in,CONTRARY_TO,staff_misunderstand_on_payment,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_comfortable_late_night_check-in,CONTRARY_TO,staff_take_picture_of_passport,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_easy_self_check-in,NOT_CONTRARY,no_one_give_key_on_late_check-in,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_easy_self_check-in,NOT_CONTRARY,door_lock_on_late_check-in,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_easy_self_check-in,NOT_CONTRARY,customer_wait_10_minute_for_greet,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_easy_self_check-in,NOT_CONTRARY,customer_wait_10_minute_for_check-in,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_easy_self_check-in,NOT_CONTRARY,staff_misunderstand_on_payment,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_easy_self_check-in,NOT_CONTRARY,staff_take_picture_of_passport,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_quick_check-in,NOT_CONTRARY,no_one_give_key_on_late_check-in,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_quick_check-in,NOT_CONTRARY,door_lock_on_late_check-in,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_quick_check-in,CONTRARY_TO,customer_wait_10_minute_for_greet,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_quick_check-in,CONTRARY_TO,customer_wait_10_minute_for_check-in,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_quick_check-in,CONTRARY_TO,staff_misunderstand_on_payment,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_quick_check-in,CONTRARY_TO,staff_take_picture_of_passport,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_easy_check-in_at_3am,NOT_CONTRARY,no_one_give_key_on_late_check-in,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_easy_check-in_at_3am,CONTRARY_TO,door_lock_on_late_check-in,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_easy_check-in_at_3am,NOT_CONTRARY,customer_wait_10_minute_for_greet,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_easy_check-in_at_3am,CONTRARY_TO,customer_wait_10_minute_for_check-in,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_easy_check-in_at_3am,CONTRARY_TO,staff_misunderstand_on_payment,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_easy_check-in_at_3am,NOT_CONTRARY,staff_take_picture_of_passport,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_staff_accommodated_arrival_at_3am,CONTRARY_TO,no_one_give_key_on_late_check-in,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_staff_accommodated_arrival_at_3am,CONTRARY_TO,door_lock_on_late_check-in,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_staff_accommodated_arrival_at_3am,NOT_CONTRARY,customer_wait_10_minute_for_greet,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_staff_accommodated_arrival_at_3am,NOT_CONTRARY,customer_wait_10_minute_for_check-in,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_staff_accommodated_arrival_at_3am,NOT_CONTRARY,staff_misunderstand_on_payment,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_staff_accommodated_arrival_at_3am,NOT_CONTRARY,staff_take_picture_of_passport,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_clear_instruction,NOT_CONTRARY,no_one_give_key_on_late_check-in,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_clear_instruction,NOT_CONTRARY,door_lock_on_late_check-in,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_clear_instruction,NOT_CONTRARY,customer_wait_10_minute_for_greet,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_clear_instruction,NOT_CONTRARY,customer_wait_10_minute_for_check-in,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_clear_instruction,NOT_CONTRARY,staff_misunderstand_on_payment,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_clear_instruction,NOT_CONTRARY,staff_take_picture_of_passport,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_late_chek-in_at_1am_worked_well,CONTRARY_TO,no_one_give_key_on_late_check-in,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_late_chek-in_at_1am_worked_well,CONTRARY_TO,door_lock_on_late_check-in,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_late_chek-in_at_1am_worked_well,CONTRARY_TO,customer_wait_10_minute_for_greet,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_late_chek-in_at_1am_worked_well,CONTRARY_TO,customer_wait_10_minute_for_check-in,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_late_chek-in_at_1am_worked_well,CONTRARY_TO,staff_misunderstand_on_payment,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_late_chek-in_at_1am_worked_well,NOT_CONTRARY,staff_take_picture_of_passport,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_hotel_make_sure_to_check-in_at_late_night,CONTRARY_TO,no_one_give_key_on_late_check-in,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_hotel_make_sure_to_check-in_at_late_night,CONTRARY_TO,door_lock_on_late_check-in,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_hotel_make_sure_to_check-in_at_late_night,CONTRARY_TO,customer_wait_10_minute_for_greet,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_hotel_make_sure_to_check-in_at_late_night,CONTRARY_TO,customer_wait_10_minute_for_check-in,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_hotel_make_sure_to_check-in_at_late_night,NOT_CONTRARY,staff_misunderstand_on_payment,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_hotel_make_sure_to_check-in_at_late_night,NOT_CONTRARY,staff_take_picture_of_passport,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_excellent communication_on_late_check-in_process,CONTRARY_TO,no_one_give_key_on_late_check-in,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_excellent communication_on_late_check-in_process,CONTRARY_TO,door_lock_on_late_check-in,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_excellent communication_on_late_check-in_process,NOT_CONTRARY,customer_wait_10_minute_for_greet,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_excellent communication_on_late_check-in_process,CONTRARY_TO,customer_wait_10_minute_for_check-in,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_excellent communication_on_late_check-in_process,CONTRARY_TO,staff_misunderstand_on_payment,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_excellent communication_on_late_check-in_process,NOT_CONTRARY,staff_take_picture_of_passport,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_staff_aware_late_arraival,CONTRARY_TO,no_one_give_key_on_late_check-in,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_staff_aware_late_arraival,CONTRARY_TO,door_lock_on_late_check-in,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_staff_aware_late_arraival,CONTRARY_TO,customer_wait_10_minute_for_greet,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_staff_aware_late_arraival,CONTRARY_TO,customer_wait_10_minute_for_check-in,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_staff_aware_late_arraival,NOT_CONTRARY,staff_misunderstand_on_payment,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_staff_aware_late_arraival,NOT_CONTRARY,staff_take_picture_of_passport,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_staff_make_late_check-in_simple,CONTRARY_TO,no_one_give_key_on_late_check-in,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_staff_make_late_check-in_simple,CONTRARY_TO,door_lock_on_late_check-in,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_staff_make_late_check-in_simple,CONTRARY_TO,customer_wait_10_minute_for_greet,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_staff_make_late_check-in_simple,CONTRARY_TO,customer_wait_10_minute_for_check-in,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_staff_make_late_check-in_simple,CONTRARY_TO,staff_misunderstand_on_payment,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_staff_make_late_check-in_simple,CONTRARY_TO,staff_take_picture_of_passport,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_got_self_check-in_instruction_on_late_arrival,NOT_CONTRARY,no_one_give_key_on_late_check-in,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_got_self_check-in_instruction_on_late_arrival,NOT_CONTRARY,door_lock_on_late_check-in,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_got_self_check-in_instruction_on_late_arrival,NOT_CONTRARY,customer_wait_10_minute_for_greet,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_got_self_check-in_instruction_on_late_arrival,NOT_CONTRARY,customer_wait_10_minute_for_check-in,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_got_self_check-in_instruction_on_late_arrival,NOT_CONTRARY,staff_misunderstand_on_payment,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_got_self_check-in_instruction_on_late_arrival,NOT_CONTRARY,staff_take_picture_of_passport,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_staff_allow_early_check-in_in_morning,NOT_CONTRARY,no_one_give_key_on_late_check-in,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_staff_allow_early_check-in_in_morning,NOT_CONTRARY,door_lock_on_late_check-in,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_staff_allow_early_check-in_in_morning,NOT_CONTRARY,customer_wait_10_minute_for_greet,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_staff_allow_early_check-in_in_morning,CONTRARY_TO,customer_wait_10_minute_for_check-in,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_staff_allow_early_check-in_in_morning,NOT_CONTRARY,staff_misunderstand_on_payment,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_staff_allow_early_check-in_in_morning,NOT_CONTRARY,staff_take_picture_of_passport,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_late_night_arrival_no_problem,CONTRARY_TO,no_one_give_key_on_late_check-in,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_late_night_arrival_no_problem,CONTRARY_TO,door_lock_on_late_check-in,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_late_night_arrival_no_problem,NOT_CONTRARY,customer_wait_10_minute_for_greet,No,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_late_night_arrival_no_problem,CONTRARY_TO,customer_wait_10_minute_for_check-in,Yes,UNIQUE
check-in,Contrary(P)Body(N),no_evident_not_late_night_arrival_no_problem,CONTRARY_TO,staff_misunderstand_on_payment,Yes,UNIQUE
