domain,sheet_type,head,relation,tail,vote
check-in,Contrary(P)Body(N),no_evident_not_quick_check-in,CONTRARY_TO,customer_wait_10_minute_for_greet,Yes
check-in,Contrary(P)Body(N),no_evident_not_quick_check-in,CONTRARY_TO,customer_wait_10_minute_for_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_quick_check-in,CONTRARY_TO,staff_misunderstand_on_payment,Yes
check-in,Contrary(P)Body(N),no_evident_not_quick_check-in,CONTRARY_TO,staff_take_picture_of_passport,Yes
check-in,Contrary(P)Body(N),no_evident_not_easy_check-in_at_3am,NOT_CONTRARY,no_one_give_key_on_late_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_easy_check-in_at_3am,CONTRARY_TO,door_lock_on_late_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_easy_check-in_at_3am,NOT_CONTRARY,customer_wait_10_minute_for_greet,No
check-in,Contrary(P)Body(N),no_evident_not_easy_check-in_at_3am,CONTRARY_TO,customer_wait_10_minute_for_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_easy_check-in_at_3am,CONTRARY_TO,staff_misunderstand_on_payment,Yes
check-in,Contrary(P)Body(N),no_evident_not_easy_check-in_at_3am,NOT_CONTRARY,staff_take_picture_of_passport,No
check-in,Contrary(P)Body(N),no_evident_not_staff_accommodated_arrival_at_3am,CONTRARY_TO,no_one_give_key_on_late_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_staff_accommodated_arrival_at_3am,CONTRARY_TO,door_lock_on_late_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_staff_accommodated_arrival_at_3am,NOT_CONTRARY,customer_wait_10_minute_for_greet,No
check-in,Contrary(P)Body(N),no_evident_not_staff_accommodated_arrival_at_3am,NOT_CONTRARY,customer_wait_10_minute_for_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_staff_accommodated_arrival_at_3am,NOT_CONTRARY,staff_misunderstand_on_payment,No
check-in,Contrary(P)Body(N),no_evident_not_staff_accommodated_arrival_at_3am,NOT_CONTRARY,staff_take_picture_of_passport,No
check-in,Contrary(P)Body(N),no_evident_not_clear_instruction,NOT_CONTRARY,no_one_give_key_on_late_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_clear_instruction,NOT_CONTRARY,door_lock_on_late_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_clear_instruction,NOT_CONTRARY,customer_wait_10_minute_for_greet,No
check-in,Contrary(P)Body(N),no_evident_not_clear_instruction,NOT_CONTRARY,customer_wait_10_minute_for_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_clear_instruction,NOT_CONTRARY,staff_misunderstand_on_payment,No
check-in,Contrary(P)Body(N),no_evident_not_clear_instruction,NOT_CONTRARY,staff_take_picture_of_passport,No
check-in,Contrary(P)Body(N),no_evident_not_late_chek-in_at_1am_worked_well,CONTRARY_TO,no_one_give_key_on_late_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_late_chek-in_at_1am_worked_well,CONTRARY_TO,door_lock_on_late_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_late_chek-in_at_1am_worked_well,CONTRARY_TO,customer_wait_10_minute_for_greet,Yes
check-in,Contrary(P)Body(N),no_evident_not_late_chek-in_at_1am_worked_well,CONTRARY_TO,customer_wait_10_minute_for_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_late_chek-in_at_1am_worked_well,CONTRARY_TO,staff_misunderstand_on_payment,Yes
check-in,Contrary(P)Body(N),no_evident_not_late_chek-in_at_1am_worked_well,NOT_CONTRARY,staff_take_picture_of_passport,No
check-in,Contrary(P)Body(N),no_evident_not_hotel_make_sure_to_check-in_at_late_night,CONTRARY_TO,no_one_give_key_on_late_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_hotel_make_sure_to_check-in_at_late_night,CONTRARY_TO,door_lock_on_late_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_hotel_make_sure_to_check-in_at_late_night,CONTRARY_TO,customer_wait_10_minute_for_greet,Yes
check-in,Contrary(P)Body(N),no_evident_not_hotel_make_sure_to_check-in_at_late_night,CONTRARY_TO,customer_wait_10_minute_for_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_hotel_make_sure_to_check-in_at_late_night,NOT_CONTRARY,staff_misunderstand_on_payment,No
check-in,Contrary(P)Body(N),no_evident_not_hotel_make_sure_to_check-in_at_late_night,NOT_CONTRARY,staff_take_picture_of_passport,No
check-in,Contrary(P)Body(N),no_evident_not_excellent communication_on_late_check-in_process,CONTRARY_TO,no_one_give_key_on_late_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_excellent communication_on_late_check-in_process,CONTRARY_TO,door_lock_on_late_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_excellent communication_on_late_check-in_process,NOT_CONTRARY,customer_wait_10_minute_for_greet,No
check-in,Contrary(P)Body(N),no_evident_not_excellent communication_on_late_check-in_process,CONTRARY_TO,customer_wait_10_minute_for_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_excellent communication_on_late_check-in_process,CONTRARY_TO,staff_misunderstand_on_payment,Yes
check-in,Contrary(P)Body(N),no_evident_not_excellent communication_on_late_check-in_process,NOT_CONTRARY,staff_take_picture_of_passport,No
check-in,Contrary(P)Body(N),no_evident_not_staff_aware_late_arraival,CONTRARY_TO,no_one_give_key_on_late_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_staff_aware_late_arraival,CONTRARY_TO,door_lock_on_late_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_staff_aware_late_arraival,CONTRARY_TO,customer_wait_10_minute_for_greet,Yes
check-in,Contrary(P)Body(N),no_evident_not_staff_aware_late_arraival,CONTRARY_TO,customer_wait_10_minute_for_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_staff_aware_late_arraival,NOT_CONTRARY,staff_misunderstand_on_payment,No
check-in,Contrary(P)Body(N),no_evident_not_staff_aware_late_arraival,NOT_CONTRARY,staff_take_picture_of_passport,No
check-in,Contrary(P)Body(N),no_evident_not_staff_make_late_check-in_simple,CONTRARY_TO,no_one_give_key_on_late_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_staff_make_late_check-in_simple,CONTRARY_TO,door_lock_on_late_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_staff_make_late_check-in_simple,CONTRARY_TO,customer_wait_10_minute_for_greet,Yes
check-in,Contrary(P)Body(N),no_evident_not_staff_make_late_check-in_simple,CONTRARY_TO,customer_wait_10_minute_for_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_staff_make_late_check-in_simple,CONTRARY_TO,staff_misunderstand_on_payment,Yes
check-in,Contrary(P)Body(N),no_evident_not_staff_make_late_check-in_simple,CONTRARY_TO,staff_take_picture_of_passport,Yes
check-in,Contrary(P)Body(N),no_evident_not_got_self_check-in_instruction_on_late_arrival,NOT_CONTRARY,no_one_give_key_on_late_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_got_self_check-in_instruction_on_late_arrival,NOT_CONTRARY,door_lock_on_late_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_got_self_check-in_instruction_on_late_arrival,NOT_CONTRARY,customer_wait_10_minute_for_greet,No
check-in,Contrary(P)Body(N),no_evident_not_got_self_check-in_instruction_on_late_arrival,NOT_CONTRARY,customer_wait_10_minute_for_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_got_self_check-in_instruction_on_late_arrival,NOT_CONTRARY,staff_misunderstand_on_payment,No
check-in,Contrary(P)Body(N),no_evident_not_got_self_check-in_instruction_on_late_arrival,NOT_CONTRARY,staff_take_picture_of_passport,No
check-in,Contrary(P)Body(N),no_evident_not_staff_allow_early_check-in_in_morning,NOT_CONTRARY,no_one_give_key_on_late_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_staff_allow_early_check-in_in_morning,NOT_CONTRARY,door_lock_on_late_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_staff_allow_early_check-in_in_morning,NOT_CONTRARY,customer_wait_10_minute_for_greet,No
check-in,Contrary(P)Body(N),no_evident_not_staff_allow_early_check-in_in_morning,CONTRARY_TO,customer_wait_10_minute_for_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_staff_allow_early_check-in_in_morning,NOT_CONTRARY,staff_misunderstand_on_payment,No
check-in,Contrary(P)Body(N),no_evident_not_staff_allow_early_check-in_in_morning,NOT_CONTRARY,staff_take_picture_of_passport,No
check-in,Contrary(P)Body(N),no_evident_not_late_night_arrival_no_problem,CONTRARY_TO,no_one_give_key_on_late_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_late_night_arrival_no_problem,CONTRARY_TO,door_lock_on_late_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_late_night_arrival_no_problem,NOT_CONTRARY,customer_wait_10_minute_for_greet,No
check-in,Contrary(P)Body(N),no_evident_not_late_night_arrival_no_problem,CONTRARY_TO,customer_wait_10_minute_for_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_late_night_arrival_no_problem,CONTRARY_TO,staff_misunderstand_on_payment,Yes
check-in,Contrary(P)Body(N),no_evident_not_late_night_arrival_no_problem,NOT_CONTRARY,staff_take_picture_of_passport,No
check-in,Contrary(P)Body(N),no_evident_not_fast_check-in,CONTRARY_TO,no_one_give_key_on_late_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_fast_check-in,CONTRARY_TO,door_lock_on_late_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_fast_check-in,CONTRARY_TO,customer_wait_10_minute_for_greet,Yes
check-in,Contrary(P)Body(N),no_evident_not_fast_check-in,CONTRARY_TO,customer_wait_10_minute_for_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_fast_check-in,CONTRARY_TO,staff_misunderstand_on_payment,Yes
check-in,Contrary(P)Body(N),no_evident_not_fast_check-in,CONTRARY_TO,staff_take_picture_of_passport,Yes
check-in,Contrary(P)Body(N),no_evident_not_quick_check-in_at_night,CONTRARY_TO,no_one_give_key_on_late_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_quick_check-in_at_night,CONTRARY_TO,door_lock_on_late_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_quick_check-in_at_night,CONTRARY_TO,customer_wait_10_minute_for_greet,Yes
check-in,Contrary(P)Body(N),no_evident_not_quick_check-in_at_night,CONTRARY_TO,customer_wait_10_minute_for_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_quick_check-in_at_night,NOT_CONTRARY,staff_misunderstand_on_payment,No
check-in,Contrary(P)Body(N),no_evident_not_quick_check-in_at_night,NOT_CONTRARY,staff_take_picture_of_passport,No
check-in,Contrary(P)Body(N),no_evident_not_room_ready_to_check-in_by_12,NOT_CONTRARY,no_one_give_key_on_late_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_room_ready_to_check-in_by_12,NOT_CONTRARY,door_lock_on_late_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_room_ready_to_check-in_by_12,NOT_CONTRARY,customer_wait_10_minute_for_greet,No
check-in,Contrary(P)Body(N),no_evident_not_room_ready_to_check-in_by_12,NOT_CONTRARY,customer_wait_10_minute_for_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_room_ready_to_check-in_by_12,NOT_CONTRARY,staff_misunderstand_on_payment,No
check-in,Contrary(P)Body(N),no_evident_not_room_ready_to_check-in_by_12,NOT_CONTRARY,staff_take_picture_of_passport,No
check-in,Contrary(P)Body(N),no_evident_not_clear_check-in_direction_at_late_night,NOT_CONTRARY,no_one_give_key_on_late_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_clear_check-in_direction_at_late_night,NOT_CONTRARY,door_lock_on_late_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_clear_check-in_direction_at_late_night,NOT_CONTRARY,customer_wait_10_minute_for_greet,No
check-in,Contrary(P)Body(N),no_evident_not_clear_check-in_direction_at_late_night,NOT_CONTRARY,customer_wait_10_minute_for_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_clear_check-in_direction_at_late_night,NOT_CONTRARY,staff_misunderstand_on_payment,No
check-in,Contrary(P)Body(N),no_evident_not_clear_check-in_direction_at_late_night,NOT_CONTRARY,staff_take_picture_of_passport,No
check-in,Contrary(P)Body(N),no_evident_not_easy_check-in_direction_at_late_night,NOT_CONTRARY,no_one_give_key_on_late_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_easy_check-in_direction_at_late_night,NOT_CONTRARY,door_lock_on_late_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_easy_check-in_direction_at_late_night,NOT_CONTRARY,customer_wait_10_minute_for_greet,No
check-in,Contrary(P)Body(N),no_evident_not_easy_check-in_direction_at_late_night,CONTRARY_TO,customer_wait_10_minute_for_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_easy_check-in_direction_at_late_night,NOT_CONTRARY,staff_misunderstand_on_payment,No
check-in,Contrary(P)Body(N),no_evident_not_easy_check-in_direction_at_late_night,NOT_CONTRARY,staff_take_picture_of_passport,No
check-in,Contrary(P)Body(N),no_evident_not_can_move_in_early,NOT_CONTRARY,no_one_give_key_on_late_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_can_move_in_early,NOT_CONTRARY,door_lock_on_late_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_can_move_in_early,NOT_CONTRARY,customer_wait_10_minute_for_greet,No
check-in,Contrary(P)Body(N),no_evident_not_can_move_in_early,NOT_CONTRARY,customer_wait_10_minute_for_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_can_move_in_early,NOT_CONTRARY,staff_misunderstand_on_payment,No
check-in,Contrary(P)Body(N),no_evident_not_can_move_in_early,NOT_CONTRARY,staff_take_picture_of_passport,No
check-in,Contrary(P)Body(N),no_evident_not_no_problem_self_check-in_at_middle_night,CONTRARY_TO,no_one_give_key_on_late_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_no_problem_self_check-in_at_middle_night,CONTRARY_TO,door_lock_on_late_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_no_problem_self_check-in_at_middle_night,NOT_CONTRARY,customer_wait_10_minute_for_greet,No
check-in,Contrary(P)Body(N),no_evident_not_no_problem_self_check-in_at_middle_night,CONTRARY_TO,customer_wait_10_minute_for_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_no_problem_self_check-in_at_middle_night,CONTRARY_TO,staff_misunderstand_on_payment,Yes
check-in,Contrary(P)Body(N),no_evident_not_no_problem_self_check-in_at_middle_night,NOT_CONTRARY,staff_take_picture_of_passport,No
check-in,Contrary(P)Body(N),no_evident_not_no_problem_check-in_after_12_at_night,CONTRARY_TO,no_one_give_key_on_late_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_no_problem_check-in_after_12_at_night,CONTRARY_TO,door_lock_on_late_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_no_problem_check-in_after_12_at_night,CONTRARY_TO,customer_wait_10_minute_for_greet,Yes
check-in,Contrary(P)Body(N),no_evident_not_no_problem_check-in_after_12_at_night,CONTRARY_TO,customer_wait_10_minute_for_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_no_problem_check-in_after_12_at_night,CONTRARY_TO,staff_misunderstand_on_payment,Yes
check-in,Contrary(P)Body(N),no_evident_not_no_problem_check-in_after_12_at_night,NOT_CONTRARY,staff_take_picture_of_passport,No
check-in,Contrary(P)Body(N),no_evident_not_staff_help_check-in_after_midnight,CONTRARY_TO,no_one_give_key_on_late_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_staff_help_check-in_after_midnight,CONTRARY_TO,door_lock_on_late_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_staff_help_check-in_after_midnight,NOT_CONTRARY,customer_wait_10_minute_for_greet,No
check-in,Contrary(P)Body(N),no_evident_not_staff_help_check-in_after_midnight,CONTRARY_TO,customer_wait_10_minute_for_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_staff_help_check-in_after_midnight,NOT_CONTRARY,staff_misunderstand_on_payment,No
check-in,Contrary(P)Body(N),no_evident_not_staff_help_check-in_after_midnight,NOT_CONTRARY,staff_take_picture_of_passport,No
check-in,Contrary(P)Body(N),no_evident_not_easy_self_check-in_at_night,NOT_CONTRARY,no_one_give_key_on_late_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_easy_self_check-in_at_night,NOT_CONTRARY,door_lock_on_late_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_easy_self_check-in_at_night,NOT_CONTRARY,customer_wait_10_minute_for_greet,No
check-in,Contrary(P)Body(N),no_evident_not_easy_self_check-in_at_night,NOT_CONTRARY,customer_wait_10_minute_for_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_easy_self_check-in_at_night,NOT_CONTRARY,staff_misunderstand_on_payment,No
check-in,Contrary(P)Body(N),no_evident_not_easy_self_check-in_at_night,NOT_CONTRARY,staff_take_picture_of_passport,No
check-in,Contrary(P)Body(N),no_evident_not_staff_left_clear_information_for_arrival,NOT_CONTRARY,no_one_give_key_on_late_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_staff_left_clear_information_for_arrival,NOT_CONTRARY,door_lock_on_late_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_staff_left_clear_information_for_arrival,NOT_CONTRARY,customer_wait_10_minute_for_greet,No
check-in,Contrary(P)Body(N),no_evident_not_staff_left_clear_information_for_arrival,NOT_CONTRARY,customer_wait_10_minute_for_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_staff_left_clear_information_for_arrival,NOT_CONTRARY,staff_misunderstand_on_payment,No
check-in,Contrary(P)Body(N),no_evident_not_staff_left_clear_information_for_arrival,NOT_CONTRARY,staff_take_picture_of_passport,No
check-in,Contrary(P)Body(N),no_evident_not_staff_left_precise_information_for_arrival,NOT_CONTRARY,no_one_give_key_on_late_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_staff_left_precise_information_for_arrival,NOT_CONTRARY,door_lock_on_late_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_staff_left_precise_information_for_arrival,NOT_CONTRARY,customer_wait_10_minute_for_greet,No
check-in,Contrary(P)Body(N),no_evident_not_staff_left_precise_information_for_arrival,NOT_CONTRARY,customer_wait_10_minute_for_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_staff_left_precise_information_for_arrival,NOT_CONTRARY,staff_misunderstand_on_payment,No
check-in,Contrary(P)Body(N),no_evident_not_staff_left_precise_information_for_arrival,NOT_CONTRARY,staff_take_picture_of_passport,No
check-in,Contrary(P)Body(N),no_evident_not_staff_send_photo_for_arrival,NOT_CONTRARY,no_one_give_key_on_late_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_staff_send_photo_for_arrival,NOT_CONTRARY,door_lock_on_late_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_staff_send_photo_for_arrival,NOT_CONTRARY,customer_wait_10_minute_for_greet,No
check-in,Contrary(P)Body(N),no_evident_not_staff_send_photo_for_arrival,NOT_CONTRARY,customer_wait_10_minute_for_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_staff_send_photo_for_arrival,NOT_CONTRARY,staff_misunderstand_on_payment,No
check-in,Contrary(P)Body(N),no_evident_not_staff_send_photo_for_arrival,NOT_CONTRARY,staff_take_picture_of_passport,No
